"time","Reg1.wconn.F_exc"
87.7,130952.11014137226
87.8,-14261.570952001783
87.9,-159348.71305268255
88,-303021.9978925751
88.1,-444006.6519699425
88.2,-581051.7572635311
88.3,-712941.3502838126
88.4,-838505.21098238
88.5,-956629.2457921071
88.6,-1.0662653726727837e6
88.7,-1.16644082045445e6
88.8,-1.2562667599681222e6
88.9,-1.3349461903824597e6
89,-1.4017810107725314e6
89.1,-1.4561782141772723e6
89.2,-1.4976551491869292e6
89.3,-1.5258438023761325e6
89.4,-1.5404940635857391e6
89.5,-1.541475945081384e6
89.6,-1.5287807348988806e6
89.7,-1.5025210741430693e6
89.8,-1.4629299575543099e6
89.9,-1.4103586662102859e6
90,-1.345273650705746e6
90.1,-1.26825239246475e6
90.2,-1.1799782799069923e6
90.3,-1.0812345449305465e6
90.4,-972897.3135107674
90.5,-855927.8320758536
90.6,-731363.9386317476
90.7,-600310.8543113865
90.8,-463931.37705185986
90.9,-323435.56440832204
91,-180069.99704660685
91.1,-35106.71817602978
91.2,110168.05293974146
91.3,254465.3332520168
91.4,396504.81271904573
91.5,535026.2141442322
91.6,668800.4752689735
91.7,796640.6539036168
91.8,917412.4593386806
91.9,1.0300443165941681e6
92,1.133536874209208e6
92.1,1.2269718712125425e6
92.2,1.3095202845993186e6
92.3,1.3804496850238554e6
92.4,1.4391307354437262e6
92.5,1.4850427750539728e6
92.6,1.5177784389671518e6
92.7,1.5370472726497934e6
92.8,1.5426783090455139e6
92.9,1.5346215855186542e6
93,1.512948587158978e6
93.1,1.4778516125141538e6
93.2,1.429642067377676e6
93.3,1.3687477017710223e6
93.4,1.295708814635421e6
93.5,1.2111734599081683e6
93.6,1.115891696518386e6
93.7,1.0107089333206654e6
93.8,896558.4280151242
93.9,774453.0066085812
94,645476.0768884808
94.1,510772.01564367214
94.2,371536.0149242873
94.3,229003.4774317949
94.4,84439.0551307997
94.5,-60874.57165949784
94.6,-205648.07513477065
94.7,-348596.91985622945
94.8,-488452.7600797326
94.9,-623974.6934386224
95,-753960.2711286045
95.1,-877256.1669050859
95.2,-992768.4102293565
95.3,-1.099472092767953e6
95.4,-1.196420462122237e6
95.5,-1.2827533221017092e6
95.6,-1.3577046650080048e6
95.7,-1.420609468210322e6
95.8,-1.4709095947081002e6
95.9,-1.5081587453270294e6
96,-1.532026418608691e6
96.1,-1.542300843259055e6
96.2,-1.5388908571368416e6
96.3,-1.521826716110114e6
96.4,-1.4912598256042798e6
96.5,-1.4474613972234605e6
96.6,-1.3908200423645626e6
96.7,-1.321838324175351e6
96.8,-1.2411282984500346e6
96.9,-1.1494060830266357e6
97,-1.0474855038706604e6
97.1,-936270.8742212878
97.2,-816748.9708689305
97.3,-689980.2787566027
97.4,-557089.5815887877
97.5,-419255.9819354602
97.6,-277702.43937946146
97.7,-133684.9195328726
97.8,11518.749800017527
97.9,156620.21643715023
98,300332.0350128276
98.1,441379.09012601804
98.2,578509.9100882792
98.3,710507.7708874249
98.4,836201.4918448539
98.5,954475.8271791147
98.6,1.0642813612748224e6
98.7,1.1646438198584227e6
98.8,1.2546727144656149e6
98.9,1.3335692435003466e6
99,1.400633379781411e6
99.1,1.4552700816909757e6
99.2,1.4969945728149903e6
99.3,1.5254366432308364e6
99.4,1.5403439342780875e6
99.5,1.5415841776673913e6
99.6,1.5291463690606118e6
99.7,1.5031408657092643e6
