"time","wconn.F_exc"
50.45,-906574.0213205378
50.5,-846778.1080589314
50.55,-785102.8447772926
50.6,-721685.1143333393
50.65,-656665.6668384002
50.7,-590188.8072748319
50.75,-522402.07522376056
50.8,-453455.91741381213
50.85,-383503.353817774
50.9,-312699.638038169
50.95,-241201.9127353758
51,-169168.86086332117
51.05,-96760.35348641143
51.1,-24137.094959771257
51.15,48539.73374004094
51.2,121108.83274219173
51.25,193409.14127245484
51.3,265280.195113602
51.35,336562.48274168005
51.4,407097.79934786673
51.45,476729.597960286
51.5,545303.3368862895
51.55,612666.8227042501
51.6,678670.5480435732
51.65,743168.0234032013
51.7,806016.1022723325
51.75,867075.298831513
51.8,926210.0975292939
51.85,983289.2538471177
51.9,1.0381860855850687e6
51.95,1.090778754021954e6
52,1.1409505343256684e6
52.05,1.1885900746138063e6
52.1,1.2335916430894104e6
52.15,1.2758553627034372e6
52.2,1.3152874328231867e6
52.25,1.3518003374145539e6
52.3,1.3853130392762844e6
52.35,1.4157511598949085e6
52.4,1.4430471445213624e6
52.45,1.4671404121028783e6
52.5,1.487977489737302e6
52.55,1.5055121313515552e6
52.6,1.51970542034074e6
52.65,1.5305258559401385e6
52.7,1.5379494231384248e6
52.75,1.5419596459768633e6
52.8,1.5425476241162766e6
52.85,1.5397120525905597e6
52.9,1.5334592247029454e6
52.95,1.523803018058561e6
53,1.5107648637643047e6
53.05,1.4943736988643683e6
53.1,1.474665902116999e6
53.15,1.451685213255027e6
53.2,1.4254826359093424e6
53.25,1.3961163244108108e6
53.3,1.363651454721795e6
53.35,1.328160079783809e6
53.4,1.2897209696023304e6
53.45,1.2484194364236156e6
53.5,1.2043471453916787e6
53.55,1.1576019111054442e6
53.6,1.108287480527847e6
53.65,1.0565133027285133e6
53.7,1.0023942859710656e6
